;imp100;;;imp250;;;imp500;;;imp1000;;;imp2000;;
Predictors;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p
(Intercept);0.72;0.63 – 0.81;<0.001;0.72;0.63 – 0.81;<0.001;0.73;0.63 – 0.82;<0.001;0.83;0.72 – 0.95;<0.001;0.83;0.72 – 0.94;<0.001
imp;-0.14;-0.23 – -0.05;0.003;-0.12;-0.22 – -0.03;0.010;-0.13;-0.23 – -0.03;0.007;;;;;;
mean_annual_temp_celsius;0.11;0.00 – 0.22;0.049;0.12;0.01 – 0.23;0.037;0.08;-0.02 – 0.17;0.107;0.12;0.01 – 0.23;0.035;;;
annual_precipitation_mm;-0.15;-0.26 – -0.03;0.013;-0.13;-0.25 – -0.02;0.022;-0.09;-0.18 – 0.01;0.081;-0.12;-0.23 – -0.01;0.038;-0.08;-0.18 – 0.01;0.092
altitude_town_m;0.11;-0.03 – 0.24;0.115;0.10;-0.03 – 0.23;0.145;;;;0.10;-0.04 – 0.23;0.158;;;
Pastures;;;;;;;;;;0.08;-0.01 – 0.17;0.095;;;
imp^2;;;;;;;;;;-0.11;-0.20 – -0.03;0.008;-0.11;-0.19 – -0.03;0.006
class_nr;;;;;;;;;;;;;0.08;-0.01 – 0.17;0.076
Observations;259;;;259;;;259;;;259;;;259;;
R2 Nagelkerke;0.082;;;0.072;;;0.064;;;0.089;;;0.077;;
