;imp100;;;imp250;;;imp500;;;imp1000;;;imp2000;;
Predictors;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p
(Intercept);2.06;1.82 – 2.32;<0.001;2.18;1.88 – 2.50;<0.001;2.33;2.01 – 2.68;<0.001;2.28;1.96 – 2.63;<0.001;2.25;1.91 – 2.61;<0.001
lat;0.37;0.11 – 0.63;0.003;0.24;-0.01 – 0.51;0.051;0.34;0.08 – 0.59;0.007;0.32;0.06 – 0.58;0.011;0.32;0.06 – 0.59;0.010
imp;;;;-0.33;-0.62 – -0.05;0.016;-0.11;-0.37 – 0.14;0.385;-0.02;-0.29 – 0.24;0.890;0.06;-0.23 – 0.35;0.690
mean_annual_temp_celsius;;;;0.25;-0.08 – 0.58;0.099;;;;;;;;;
Arable;;;;-0.29;-0.55 – -0.01;0.031;;;;;;;;;
lon;;;;0.32;0.04 – 0.61;0.034;;;;;;;;;
imp^2;;;;-0.21;-0.41 – 0.00;0.040;-0.33;-0.56 – -0.08;0.002;-0.26;-0.48 – -0.01;0.019;-0.21;-0.44 – 0.06;0.055
Observations;259;;;259;;;259;;;259;;;259;;
R2 Nagelkerke;0.047;;;0.121;;;0.092;;;0.074;;;0.062;;
