"Art.x","land","medium","stadt","meanImp","Anteil_stadt"
"chrysis radians",2,1,0,17.0765717552162,0
"hylaeus confusus",2,1,0,23.9169460503414,0
"megachile centuncularis",3,2,0,19.7377320106223,0
"megachile ligniseca",2,0,0,9.23840924912055,0
"osmia adunca",3,2,0,20.3985813217643,0
"sapyga clavicornis",7,3,0,21.7178585314144,0
"sapyga quinquepunctata",3,6,0,22.6860591376575,0
"chelostoma florisomne",8,6,2,27.2782414652927,20
"chelostoma rapunculi",4,3,1,29.8819695722948,20
"hylaeus difformis",7,2,2,22.0379345686651,22.2
"cacoxenus indagator",8,7,3,30.5820482190672,27.3
"stelis breviuscula",5,6,3,32.3956374956038,37.5
"osmia leaiana",3,1,2,33.1559635793424,40
"hylaeus communis",32,34,22,32.1107921971491,40.7
"anthrax anthrax",10,9,7,32.1188724557716,41.2
"osmia caerulescens",10,13,8,32.3588457847504,44.4
"osmia bicornis",50,51,41,33.5983579433386,45.1
"heriades truncorum",10,15,9,35.2460103656418,47.4
"megachile rotundata",2,2,2,28.853354496049,50
"osmia niveata",2,0,2,28.9598523441288,50
"sapygina decemguttata",5,9,5,36.4490021336005,50
"stelis punctulatissima",1,0,1,39.0684065534914,50
"osmia cornuta",14,21,15,36.7214859553673,51.7
"hylaeus leptocephalus",1,1,2,38.2996354107272,66.7
"gasteruption assectator",6,11,13,39.8374867425492,68.4
"gasteruption jaculator",1,3,3,40.7396585134805,75
"anthidium manicatum",0,1,1,51.672331876538,100
"heriades crenulatus",0,2,0,32.9440937718539,NA
"poemenia collaris",0,3,0,39.6827520589955,NA
